key,en,ko,zh-TW,zh-CN,,,,,,,,,,,,,,,
TITLE,DPlay Trading Post,DPlay 교역소,DPlay交易所,DPlay交易所,,,,,,,,,,,,,,,
TOTAL_SALE_TAB_TITLE,Total,전체,全部,全部,,,,,,,,,,,,,,,
RESOURCE_SALE_TAB_TITLE,Resources,자원,資源,资源,,,,,,,,,,,,,,,
ITEM_SALE_TAB_TITLE,Items,아이템,物品,物品,,,,,,,,,,,,,,,
UNIQUE_ITEM_SALE_TAB_TITLE,Unique items,특수 아이템,特殊物品,特殊物品,,,,,,,,,,,,,,,
MENU_MY_SALES_BUTTON,My sales list,내 판매 목록,我的出售清單,我的出售清单,,,,,,,,,,,,,,,
MENU_SELL_RESOURCE_BUTTON,Sell resources,자원 판매,出售資源,出售资源,,,,,,,,,,,,,,,
MENU_SELL_ITEM_BUTTON,Sell items,아이템 판매,出售物品,出售物品,,,,,,,,,,,,,,,
MENU_SELL_UNIQUE_ITEM_BUTTON,Sell unique items,특수 아이템 판매,出售特殊物品,出售特殊物品,,,,,,,,,,,,,,,
SELL_RESOURCE_TITLE,Sell resources,자원 판매,出售資源,出售资源,,,,,,,,,,,,,,,
RESOURCE_CONTRACT_ADDRESS_INPUT,Resource smart contract address,자원 스마트 계약 주소,資源的智慧合約地址,资源的智能合约地址,,,,,,,,,,,,,,,
HAVING_RESOURCE_AMOUNT,Resource reserves,자원 보유량,資源擁有量,资源拥有量,,,,,,,,,,,,,,,
SELL_RESOURCE_AMOUNT_INPUT,Resource sales amount,자원 판매 수량,資源出售量,资源出售量,,,,,,,,,,,,,,,
SELL_RESOURCE_PRICE_INPUT,Price per each unit of resource,개당 자원 가격,單件資源價格,单件资源价格,,,,,,,,,,,,,,,
TOTAL_RESOURCE_PRICE,Total prices of the resources,자원 총 가격,資源總價,资源总价,,,,,,,,,,,,,,,
SELL_DESCRIPTION_INPUT,Sales description,판매 설명,出售資訊,出售信息,,,,,,,,,,,,,,,
SELL_SUBMIT,Start selling,판매 시작,開始出售,开始出售,,,,,,,,,,,,,,,
SELL_ITEM_TITLE,Sell items,아이템 판매,出售物品,出售物品,,,,,,,,,,,,,,,
ADD_SELL_ITEM_BUTTON,Add items to sell,판매할 아이템 추가,新增欲出售物品,新增欲出售物品,,,,,,,,,,,,,,,
ITEM_CONTRACT_ADDRESS_INPUT,Item smart contract address,아이템 스마트 계약 주소,物品的智慧合約地址,物品的智能合约地址,,,,,,,,,,,,,,,
